name	city	region	type	next_date	next_end	url
MDEV	Madison	Wisconsin	conference	2026-11-06	2026-11-07	https://www.mdevconf.com
Hackaday Superconference	Pasadena	California	conference	2026-11-06	2026-11-08	https://www.eventbrite.com/e/2026-hackaday-superconference-tickets-1996759298814
PNW Day of Data	Vancouver	Washington	conference	2026-11-06	2026-11-07	https://dev.events/NA/US/WA
BSides Charleston	Charleston	South Carolina	conference	2026-11-07	2026-11-07	https://bsidescharleston.org
South Dallas Maker Faire	Dallas	Texas	festival	2026-11-07	2026-11-07	https://southdallas.makerfaire.com/
Iowa Code Camp	Des Moines	Iowa	conference	2026-11-07	2026-11-07	https://iowacodecamp.com
DevFest KC	Kansas City	Missouri	conference	2026-11-07	2026-11-07	https://gdg.community.dev/gdg-kansas-city/
Vintage Computer Festival Montreal	Montreal	Quebec	festival	2026-11-07	2026-11-08	https://vcfed.org/events/vcf-montreal/
Maker Faire Orlando	Orlando	Florida	festival	2026-11-07	2026-11-08	https://www.makerfaireorlando.com/
HackUTD	Richardson	Texas	hackathon	2026-11-07	2026-11-08	https://zeroday.hackutd.co/
Toronto Game Expo	Toronto	Ontario	expo	2026-11-07	2026-11-08	https://www.torontogameexpo.ca/
HackRPI	Troy	New York	hackathon	2026-11-07	2026-11-08	https://www.hackrpi.com/
GOVIT Leadership Summit & Symposium	Bloomington	Minnesota	summit	2026-11-08	2026-11-10	https://dev.events/NA/US/MN/tech
Accelerate Conference	Flowood	Mississippi	conference	2026-11-10	2026-11-11	https://accelerate.innovate.ms
Montreal International Game Summit (MIGS)	Montreal	Quebec	summit	2026-11-10	2026-11-11	https://migs.biz/en/
Montreal Games Week	Montreal	Quebec	tech-week	2026-11-10	2026-11-16	https://www.semainedujeuvideodemontreal.com/
SpiceWorld	Austin	Texas	conference	2026-11-12	2026-11-13	https://www.spiceworks.com/spiceworld/
Seattle Day of Data	Seattle	Washington	conference	2026-11-12	2026-11-12	https://dev.events/NA/US/WA/Seattle
Pacific Northwest Software Symposium	Seattle	Washington	conference	2026-11-12	2026-11-13	https://nofluffjuststuff.com/
Product-Led Summit Toronto	Toronto	Ontario	summit	2026-11-12	2026-11-13	https://world.productledalliance.com/
HackUMass	Amherst	Massachusetts	hackathon	2026-11-13	2026-11-15	https://www.hackumass.com/
Tennessee Quantum Hackathon	Chattanooga	Tennessee	hackathon	2026-11-13	2026-11-13	https://thecompanylab.org/events
Global Day of Coderetreat	Multiple cities	US & Canada	workshop	2026-11-13	2026-11-14	https://www.coderetreat.org/
New England Drupal Camp	Providence	Rhode Island	conference	2026-11-13	2026-11-14	https://www.nedcamp.org/
San Diego CyberCon	San Diego	California	conference	2026-11-13	2026-11-13	https://sdcybercon.org/
CyberForce Competition	Tinley Park	Illinois	ctf	2026-11-13	2026-11-14	https://cyberforce.energy.gov/
Live! 360 Tech Con	Orlando	Florida	conference	2026-11-15	2026-11-20	https://live360events.com/events/orlando-2026/home.aspx
JSNation US	New York	New York	conference	2026-11-16	2026-11-19	https://jsnation.us/
NC TECH Awards Celebration	Raleigh	North Carolina	awards	2026-11-16	2026-11-16	https://www.nctech.org/events/signature-events/index.html
QCon San Francisco	San Francisco	California	conference	2026-11-16	2026-11-20	https://qconsf.com/
rvatech/Women in Technology Conference	Richmond	Virginia	conference	2026-11-17	2026-11-17	https://rvatech.com/events/premier-conferences/
Microsoft Ignite	San Francisco	California	conference	2026-11-17	2026-11-20	https://ignite.microsoft.com/
Founders Retreat	Fort Ransom	North Dakota	unconference	2026-11-18	2026-11-20	https://www.emergingprairie.com/
Atlantic Technology Summit	Halifax	Nova Scotia	summit	2026-11-18	2026-11-18	https://cips.ca/
TAG Chairs' Gala	Atlanta	Georgia	awards	2026-11-19	2026-11-19	https://members.tagonline.org/calendar
NH Tech Alliance Product of the Year	Concord	New Hampshire	awards	2026-11-19	-	http://nhtechalliance.org/product-of-the-year
BSides Ottawa	Ottawa	Ontario	conference	2026-11-19	2026-11-19	https://bsidesottawa.ca
Florida Technology Summit	St. Petersburg	Florida	summit	2026-11-19	2026-11-19	https://technologysummit.net/florida.html
MongoDB.local Toronto	Toronto	Ontario	conference	2026-11-19	2026-11-19	https://www.mongodb.com/events/mongodb-local/toronto
Hack Western	London	Ontario	hackathon	2026-11-20	2026-11-22	https://www.hackwestern.com/
Maker Faire Rochester	Rochester	New York	festival	2026-11-21	2026-11-21	https://rochester.makerfaire.com/
InnovateNB Awards	Fredericton	New Brunswick	awards	2026-11-26	2026-11-26	https://nbif.ca/
Django Girls New York City	New York	New York	workshop	2026-11-28	2026-11-28	https://djangogirls.org/en/events/
Houston Day of Data	Houston	Texas	conference	2026-12-05	-	https://sqlsaturday.com/2026-12-05-sqlsaturday1162/
Gartner Identity & Access Management Summit	Las Vegas	Nevada	summit	2026-12-07	2026-12-09	https://www.gartner.com/en/conferences/na/identity-access-management-us
BSides Philly	Philadelphia	Pennsylvania	conference	2026-12-11	2026-12-11	https://bsidesphilly.org
BSides RDU	Raleigh	North Carolina	conference	2026-12-18	2026-12-18	https://bsidesrdu.org/
DeltaHacks	Hamilton	Ontario	hackathon	2027-01-09	2027-01-10	https://www.deltahacks.com/
Workplace Ninjas US	Scottsdale	Arizona	conference	2027-01-11	2027-01-13	https://dev.events/NA/US/AZ
CodeMash	Sandusky	Ohio	conference	2027-01-12	2027-01-15	https://www.codemash.org/
uOttaHack	Ottawa	Ontario	hackathon	2027-01-15	2027-01-17	https://2027.uottahack.ca/
UofTHacks	Toronto	Ontario	hackathon	2027-01-15	2027-01-17	https://uofthacks.com/
nwHacks	Vancouver	British Columbia	hackathon	2027-01-16	2027-01-17	https://nwhacks.io/
Cactusforce	Scottsdale	Arizona	conference	2027-01-21	2027-01-22	https://cactusforce.com/
Hackville	Mississauga	Ontario	hackathon	2027-01-22	2027-01-24	https://hackville.io/
Global Game Jam	Multiple cities	US & Canada	game-jam	2027-01-25	2027-01-31	https://globalgamejam.org/
Florida DrupalCamp	Orlando	Florida	conference	2027-01-29	2027-01-30	https://www.fldrupal.camp/
ElleHacks	Toronto	Ontario	hackathon	2027-01-29	2027-01-31	https://ellehacks.com/
UGAHacks	Athens	Georgia	hackathon	2027-02-05	2027-02-07	https://ugahacks.com/
SpartaHack	East Lansing	Michigan	hackathon	2027-02-06	2027-02-07	https://www.spartahack.com/
Hack@Brown	Providence	Rhode Island	hackathon	2027-02-06	2027-02-07	https://hackatbrown.org/
Hack_NCState	Raleigh	North Carolina	hackathon	2027-02-06	2027-02-07	https://hackncstate.org/
DistrictCon	Washington	District of Columbia	conference	2027-02-06	2027-02-07	https://districtcon.org/
InnovateHer	West Lafayette	Indiana	hackathon	2027-02-06	2027-02-07	https://innovateherhacks.org/
MakeUofT	Toronto	Ontario	hackathon	2027-02-13	2027-02-14	http://makeuoft.ca/
AAAI Conference on Artificial Intelligence	Montreal	Quebec	conference	2027-02-16	2027-02-23	https://aaai.org/conference/aaai/aaai-27/
SF Hacks	San Francisco	California	hackathon	2027-02-19	2027-02-21	https://sfhacks.io/
CUhackit	Clemson	South Carolina	hackathon	2027-02-20	2027-02-21	https://cuhack.it/
Linux Foundation Member Summit	Half Moon Bay	California	summit	2027-02-22	2027-02-23	https://events.linuxfoundation.org/about/calendar/
ConFoo Montreal	Montreal	Quebec	conference	2027-02-24	2027-02-26	https://confoo.ca/en/2027
PlatformCon Live Day San Francisco	San Francisco	California	conference	2027-02-24	2027-02-25	https://platformcon.com/
Hacklytics	Atlanta	Georgia	hackathon	2027-02-26	2027-02-28	https://hacklytics.io/
HackIllinois	Urbana-Champaign	Illinois	hackathon	2027-02-26	2027-02-28	https://www.hackillinois.org/
RevolutionUC	Cincinnati	Ohio	hackathon	2027-02-27	2027-02-28	https://www.revolutionuc.com/
HackHERS	New Brunswick	New Jersey	hackathon	2027-02-27	2027-02-28	https://ruhackhers.org/
WiCHacks	Rochester	New York	hackathon	2027-02-27	2027-02-28	https://wichacks.io/
Legalweek New York	New York	New York	conference	2027-03-01	2027-03-03	https://www.event.law.com/legalweek
DVCon U.S.	San Jose	California	conference	2027-03-01	2027-03-04	https://dvcon.org/
Kent Hack Enough	Kent	Ohio	hackathon	2027-03-06	2027-03-07	https://khe.io/
HenHacks	Newark	Delaware	hackathon	2027-03-06	2027-03-07	https://www.henhackshackathon.com/
3rd Coast Venture Summit	New Orleans	Louisiana	summit	2027-03-09	2027-03-10	https://3rdcoastventuresummit.com/
The Montgomery Summit	Santa Monica	California	summit	2027-03-09	2027-03-10	https://montgomerysummit.com/
SXSW EDU	Austin	Texas	conference	2027-03-13	2027-03-16	https://www.sxswedu.com
ViVE	Nashville	Tennessee	conference	2027-03-14	2027-03-17	https://hlth.com/events/vive/
SXSW	Austin	Texas	festival	2027-03-15	2027-03-21	https://sxsw.com
Build48	St. John's	Newfoundland and Labrador	hackathon	2027-03-20	2027-03-21	https://www.genesiscentre.ca/build48
DrupalCon North America	Orlando	Florida	conference	2027-03-22	2027-03-25	https://events.drupal.org/
CyberBay Summit	Tampa	Florida	summit	2027-03-22	2027-03-24	https://cyberbay.org
CypherCon	Milwaukee	Wisconsin	conference	2027-03-24	2027-03-25	https://cyphercon.com
TENWEST Festival	Tucson	Arizona	festival	2027-03-30	2027-04-02	https://www.tenwest.com/
devopsdays Los Angeles	Los Angeles	California	conference	2027-04-02	2027-04-02	https://devopsdays.org/events/2027-los-angeles/welcome/
Diamondhacks	La Jolla	California	hackathon	2027-04-04	2027-04-05	https://diamondhacks.acmucsd.com/
Devnexus	Atlanta	Georgia	conference	2027-04-05	2027-04-07	https://devnexus.com/
Product-Led Summit Denver	Denver	Colorado	summit	2027-04-07	2027-04-08	https://world.productledalliance.com/
CodeStock	Knoxville	Tennessee	conference	2027-04-08	2027-04-09	https://www.codestock.org
HackKU	Lawrence	Kansas	hackathon	2027-04-09	2027-04-11	https://www.hackku.org/
MariHacks	Montreal	Quebec	hackathon	2027-04-09	2027-04-10	https://www.marihacks.com/
WEHack	Richardson	Texas	hackathon	2027-04-10	2027-04-11	https://www.wehackutd.com/
HPSF Conference	Montreal	Quebec	conference	2027-04-12	2027-04-16	https://events.linuxfoundation.org/about/calendar/
Twilio SIGNAL	San Francisco	California	conference	2027-04-13	2027-04-14	https://signal.twilio.com/
AI Product Summit Silicon Valley	San Jose	California	summit	2027-04-15	2027-04-15	https://world.productledalliance.com/
BSides Idaho Falls	Idaho Falls	Idaho	conference	2027-04-16	2027-04-17	https://bsidesidahofalls.org/
LA Hacks	Los Angeles	California	hackathon	2027-04-16	2027-04-18	https://lahacks.com/
iFiveK	Charleston	South Carolina	festival	2027-04-22	-	https://www.charlestondigital.com/community/ifivek
TECHSPO New York	New York	New York	expo	2027-04-22	2027-04-23	https://techsponyc.com/
Mira Awards	Indianapolis	Indiana	awards	2027-04-23	2027-04-23	https://techpoint.org/mira-awards/
Midwest Gaming Classic	Milwaukee	Wisconsin	expo	2027-04-23	2027-04-25	https://www.midwestgamingclassic.com
BSidesCharm	Baltimore	Maryland	conference	2027-04-24	2027-04-25	https://www.bsidescharm.org/
Imagine RIT: Creativity and Innovation Festival	Rochester	New York	festival	2027-04-24	-	https://www.rit.edu/imagine/
STAREAST	Orlando	Florida	conference	2027-04-25	2027-04-30	https://stareast.techwell.com/
TokioConf	Portland	Oregon	conference	2027-04-26	2027-04-27	https://tokioconf.com/
MidCamp	Chicago	Illinois	conference	2027-04-28	2027-04-30	https://www.midcamp.org/
Stripe Sessions	San Francisco	California	conference	2027-04-28	2027-04-30	https://stripe.com/sessions
AGNTCon + MCPCon North America	San Francisco	California	conference	2027-04-28	2027-04-29	https://dev.events/NA/US/CA/San_Francisco/tech
Uniting the Prairies	Saskatoon	Saskatchewan	conference	2027-04-28	2027-04-29	https://www.unitingtheprairies.com/
University of Idaho Engineering Design EXPO	Moscow	Idaho	expo	2027-04-29	2027-04-30	https://www.uidaho.edu/engr/expo
FinovateSpring	San Diego	California	conference	2027-05-03	2027-05-05	https://informaconnect.com/finovatespring/
PGConf.dev	Montreal	Quebec	conference	2027-05-11	2027-05-14	https://2027.pgconf.dev/
NorthSec	Montreal	Quebec	ctf	2027-05-17	2027-05-23	https://nsec.io/
Open Source Summit North America	Vancouver	British Columbia	conference	2027-05-17	2027-05-19	https://events.linuxfoundation.org/open-source-summit-north-america/
Meeting in the Millyard	Nashua	New Hampshire	conference	2027-05-18	2027-05-20	https://newhampshiretechallianceinc.growthzoneapp.com/events
DIG SOUTH Tech, Venture & AI Summit	Charleston	South Carolina	summit	2027-05-20	2027-05-21	https://digsouth.com/techsummit/
BSides Harrisburg	Harrisburg	Pennsylvania	conference	2027-05-21	2027-05-21	https://www.bsideshbg.com/
Red Hat Summit	Boston	Massachusetts	conference	2027-05-25	2027-05-27	https://www.redhat.com/en/summit
Quantum.Tech USA	Boston	Massachusetts	conference	2027-05-25	2027-05-26	https://www.alphaevents.com/events-quantumtechus
Interface	Quebec City	Quebec	conference	2027-06-01	2027-06-03	https://interfaceqc.com/
AI Con USA	Seattle	Washington	conference	2027-06-06	2027-06-11	https://aiconusa.techwell.com/
CT Tech Week	Multiple cities	US & Canada	tech-week	2027-06-07	2027-06-11	https://cttechweek.com/
Snowflake Summit	San Francisco	California	conference	2027-06-07	2027-06-10	https://www.snowflake.com/summit/
XP Game Summit	Toronto	Ontario	summit	2027-06-10	2027-06-11	https://xpgamesummit.com/
ETHConf	New York	New York	conference	2027-06-14	2027-06-16	https://ethglobal.com/events
Product-Led Summit Seattle	Seattle	Washington	summit	2027-06-16	2027-06-17	https://world.productledalliance.com/
CodeMash East	Spotsylvania	Virginia	conference	2027-06-17	2027-06-18	https://www.codemash.org/
SLOSS.tech	Birmingham	Alabama	conference	2027-06-23	2027-06-25	https://sloss.tech
Vintage Computer Festival Southwest	Irving	Texas	festival	2027-06-25	2027-06-27	https://www.vcfsw.org/
Startupfest	Montreal	Quebec	festival	2027-07-07	2027-07-09	https://www.startupfest.com/
BSides Pittsburgh	Pittsburgh	Pennsylvania	conference	2027-07-09	2027-07-09	https://www.bsidespgh.com
Open Sauce	San Mateo	California	festival	2027-07-17	2027-07-18	https://www.opensauce.com/
TechChicago Week	Chicago	Illinois	tech-week	2027-07-19	2027-07-25	https://gotechchicago.com/week/
TechMentor & Cybersecurity Live! @ Microsoft HQ	Redmond	Washington	conference	2027-08-09	2027-08-13	https://techmentorevents.com/events/microsofthq-2027/home.aspx
Florida Technology & Innovation Solution Summit	Tampa	Florida	summit	2027-08-25	2027-08-25	https://www.flchamber.com/event/2027-florida-technology-innovation-solution-summit/
MEET Show	Moncton	New Brunswick	expo	2028-05-03	2028-05-04	https://www.meetshow.ca/
